Date,User,Tweet
2022-06-15 20:11:18+00:00,genericgranola,"Deep learning with multi modalities and biomarkers https://t.co/FkKRZGHvUb #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/2Gp1Q7bV5T"
2022-06-15 20:11:16+00:00,genericgranola,"Ultimate Machine Learning and Deep Learning Cheat Sheet — Part 1 https://t.co/3OpsS2o02M #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/Jpk12nH7o8"
2022-06-15 19:58:38+00:00,CleverTechMemes,"I just published Ultimate Machine Learning and Deep Learning Cheat Sheet — Part 1 https://t.co/fT1q0o2ZPs 

#MachineLearning
#DeepLearning
#CheatSheet
#NeuralNetworks
#Interview 
#ML 
#AI"
2022-06-15 13:50:42+00:00,AI4Diversity,"FREE RESOURCE!!

Cheat Sheets for AI, Neural Networks, Machine Learning, Deep Learning &amp; Big Data

Check out the full resource here: https://t.co/ss1I3CMVN7

#AI #NeuralNetwork #MachineLearning #DeepLearning #BigData #freeresources https://t.co/s02OIgwhCG"
2022-06-15 13:45:58+00:00,HCAIMaster,"Last day before the start of AI Ethicon, A Hackathon in Ethical AI❗️

✅ Hear from the AI experts and  HCAIM
✅ Privacy-Preserving Machine Learning 
✅ Fundamentals of Deep Learning 
✅ Certifications from HCAIM and much more...

Register via:
https://t.co/Ddcwt1QHNQ https://t.co/9hmkgQpIeT"
2022-06-15 13:16:10+00:00,WillDiy007,"The perfect Roadmap for making « free money »:
1- learn python 
2- learn AI (Machine and Deep learning )
3-learn how to create deepfakes
4- create an onlyfans account.
5-Sell pictures and videos coming from deepfakes 🥱"
2022-06-15 13:03:03+00:00,sgbrenner,"Slideshow presents 6 foundational tasks in AI, along with examples and algorithms found in Reinforcement Learning, Deep Learning, and traditional Machine Learning

#AI #reinforcementlearning #deeplearning #machinelearning #matlab #tech #news @MathWorks https://t.co/zxrqpxdVqD"
2022-06-15 10:19:51+00:00,genericgranola,"Using Deep Learning modeling to predict Electricity consumption with an external variable — Part 2 https://t.co/M4MwLe7OYz #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elb… https://t.co/cqziGT1oAw"
2022-06-15 09:04:00+00:00,IJCAIconf,"#IJCAI2022Workshop 🚨Interactions between Analogical Reasoning and Machine Learning (IARML)
🗓 23 July 
Bridging gaps between multiple communities of AI researchers, including case-based reasoning, deep learning and neuro-symbolic machine learning.
➡ https://t.co/kWG1XCUPU5

1/2 https://t.co/df6MFpfRVO"
2022-06-14 23:53:57+00:00,Everlas42403363,@TechRonic9876 @airpringlefan65 @phantomrunner11 @elonmusk @fchollet @GM Machine learning AI and deep learning AI are not the same and only some aspect of self driving is using AI in future legacy cars.
2022-06-14 22:45:51+00:00,ArtIntel_b,"Using Normalization Layers to Improve Deep Learning Models - Machin... (Machine Learning ...)

Last Updated on June 15, 2022You've probably been told to standardize or normalize inputs to...

Add your highlights:
https://t.co/kbVtXLQKbi
 #AI #deeplearning"
2022-06-14 22:45:46+00:00,ArtIntel_b,"Introduction to the Python Deep Learning Library TensorFlow - Machi... (Machine Learning ...)

Last Updated on June 15, 2022TensorFlow is a Python library for fast numerical computing cre...

Add your highlights:
https://t.co/ljSXViuXwE
 #AI #deeplearning"
2022-06-14 21:04:01+00:00,cyntea_ah,"Got an email that I’m on the WAITING LIST to attend Deep Learning Indaba 2022 in Tunis.

Praying I get in as I’d really love to connect with others in the African Machine Learning and AI Community. https://t.co/9c1A61ONXf"
2022-06-14 20:52:19+00:00,WaterlooEDC,"#DYK: 130+ AI Companies are located in Waterloo Region? With applied artificial intelligence, machine learning, deep learning and more. We spoke to @sheldonfff, CEO of @DarwinAI about bringing AI to manufacturing. Read more in our Q&amp;A: https://t.co/RDtr07lSX4"
2022-06-14 19:55:03+00:00,genericgranola,"Artificial Intelligence (AI) VS Machine Learning (ML) VS Deep Learning (DL) — 2022 https://t.co/EjEGpZHQdK #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/n2VzOQOkxg"
2022-06-14 17:30:02+00:00,YuvalLeshem,"High Tech Jobs in Israel 24/7 
#Data Scientist -machine / deep learning
#BigData infrastructure -Java
AI application engineer -Java /R/matlab
#FrontEnd Lead-react / angular
#QA automation Lead
Payment Approval Representative
https://t.co/xgiPepz3Ys"
2022-06-14 14:53:07+00:00,myESR,"After its successful debut in 2019 and highly anticipated appearance in 2020, the AI Theatre will finally open its stage again at ECR 2022. The AI Exhibition &amp; the AI Theatre are the best place to explore how machine learning, deep learning and big data are reshaping radiology. https://t.co/oBKqFxvIGB"
2022-06-14 13:39:59+00:00,genericgranola,"Introduction to Artificial Neural Network in Deep Learning https://t.co/gbNmPzLPfH #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/biOuzW9CGH"
2022-06-14 13:24:33+00:00,genericgranola,"Breaking down the concept of Activation functions in Deep Learning https://t.co/ICM3OR8q9E #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/9tUcPN1G9P"
2022-06-14 11:54:05+00:00,IDCNordic,"Future of Operations will be in choosing the right kind of technologies: AI, machine learning, deep learning -- being able to extract information from data at the right place, at the right time.

@reddogmarc CTO in @DellTech  at the IDC Future of Operations Summit #IDCFoO22"
2022-06-14 09:29:11+00:00,genericgranola,"Beginner-Friendly Kaggle Notebooks to Learn Deep Learning https://t.co/QuSq8p0YoI #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/Ib5ppU9yLA"
2022-06-14 08:29:28+00:00,comidoc,"Machine learning &amp; AI Hands on 3 Projects.  
2 hours | 232486 students  | September 2020 release 

🆓 LINK =&gt; https://t.co/YgGXb4Ebjq 

#Udemy #Inteligencia #artificial #Aprendizaje #automático #Deep #Learning https://t.co/tBc80WbT71"
2022-06-14 05:53:20+00:00,jusjosgra,@ClementDelangue @karpathy Software 2.0 feels just as vague given that people outside the community won’t have read Kaparthy’s treatise. What’s wrong with good old “machine learning” and predictive models? AI was used to imply some step change with deep learning but it’s all incremental really
2022-06-14 01:45:26+00:00,HurricanesCity,"@th3j35t3r I have asked a lot of people and never got an answer, but since crypto is based on encryption, what happens when AI or deep learning machines crack it?"
2022-06-14 01:15:09+00:00,SuriyaSubraman,"Austin Big Data AI - Meetup: Austin Group to discuss and present Technical topics on Big Data, AI , Machine Learning,Deep Learning, AI related technologies.• Big Data• AI• ... https://t.co/F6VKNBZSky #bigdata #cdo #cto"
